Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
323953;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
323989;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
324700;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
330061;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
332730;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
333911;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
334347;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
334751;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
334800;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
335117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
335237;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
335585;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
336156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
337706;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
337727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
338916;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
339095;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
339944;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
340105;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
342174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
342659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
345117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
346576;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
348517;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
348962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
350027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
350151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
350226;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
353914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
356342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
357173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
357913;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
360611;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
361659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
365692;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
365775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
365799;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
366402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
366701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
366750;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
367618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
367725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
368111;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
370536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
372047;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
372686;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
374141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
374349;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
374732;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
376411;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
376862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
377579;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
378107;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
378847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
381224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
381607;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
382141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
382306;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
384926;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
385618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
386092;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
386704;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
390341;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
