Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
84231;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
84253;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
84751;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
84971;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
85027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
85033;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
85126;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
86204;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
86818;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
87469;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
87669;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
87829;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
87859;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
88556;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
88783;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
88922;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
89371;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
89543;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
89701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
89962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
90127;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
90334;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
90519;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
90636;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
90992;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
91114;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
91178;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
91354;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
91630;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
91866;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
92373;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
92894;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93212;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93225;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
93330;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
93951;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
94301;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
94450;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
94637;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
94844;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
94893;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
95025;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95242;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95321;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95437;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95515;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95674;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95745;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
95872;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
96569;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
96739;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
96751;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
97040;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
97048;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
97206;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
98052;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
98328;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
98689;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
98878;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
